id_estacion,calle,latitud,longitud,capacidad,estacion_electrica,periodo
82,CE-064 Sonora - Ámsterdam,19.412967269545486,-99.16692517703268,27,False,202409
83,CE-056 Alvaro Obregón - Medellin,19.417102,-99.165607,35,False,202409
84,CE-071 Amsterdam - Michoacan,19.411361,-99.171271,35,False,202409
85,CE-083 Alfonso Reyes - Nuevo León,19.40655,-99.172275,15,False,202409
86,CE-081 Aguascalientes - Insurgentes,19.407927,-99.168734,27,False,202409
87,CE-079 Saltillo - Alfonso Reyes,19.407548521979454,-99.17434785516434,31,False,202409
88,CE-128 Orizaba-Río de Janeiro,19.422148,-99.160645,23,False,202409
89,CE-049 Mazatlán - Juan de la Barrera,19.41689,-99.17562,39,False,202409
90,CE-066 Mazatlán - Francisco Márquez,19.411825,-99.178456,27,False,202409
91,CE-040 Oaxaca - Puebla,19.42235098990008,-99.16417356581859,23,False,202409
92,CE-053 Fernando Montes de Oca - Tula,19.4148233,-99.1783527,15,False,202409
93,CE-046 Durango - Salamanca,19.41910678068996,-99.16973479097578,39,False,202409
94,CE-447 Agustín Melgar-Zamora,19.418879,-99.176854,27,False,202409
95,CE-060 Mazatlán - Fernando Montes de Oca,19.414099314684794,-99.17715847497675,39,False,202409
96,CE-302 Luz Saviñón-Magdalena,19.393914210245562,-99.1716746986458,39,False,202409
97,CE-070 Parque México - Michoacán,19.41128,-99.169825,45,False,202409
98,CE-125 Morelia-Circular de Morelia,19.424197,-99.156127,35,False,202409
99,CE-100 20 de Noviembre-Mesones,19.428485,-99.1338,23,False,202409
100,CE-105 San Jerónimo-5 de Febrero,19.426755,-99.135014,23,False,202409
101,CE-102 Echeveste-Bolivar,19.428214,-99.139494,15,False,202409
102,CE-097 República de Salvador-Pino Suárez,19.429189,-99.132759,27,False,202409
103,CE-099 Ernesto Pugibet-Luis Moya,19.429947,-99.14591,27,False,202409
104,CE-107-108 Tolsa-Balderas,19.427305,-99.149533,59,False,202409
105,CE-122 José María Vértiz-Av. Dr. Río de la Loza,19.425502,-99.146337,31,False,202409
106,CE-029 Reforma - Bucareli,19.434944,-99.150295,35,False,202409
107,CE-110 Dr. Valenzuela-Dr. Río de la loza,19.425126,-99.143391,35,False,202409
108,CE-093 Palma Norte-República de Cuba,19.436741,-99.134811,35,False,202409
109,CE-091 Republica de Cuba-Allende,19.4374,-99.137571,19,False,202409
110,CE-112 Av. Morelos-Abraham González,19.432819,-99.151734,23,False,202409
111,CE-065 Marconi - Tacuba,19.436522,-99.139811,19,False,202409
112,CE-088 2a Cerrada de 5 de Mayo - Palma,19.433757,-99.135331,15,False,202409
113,CE-003 Reforma - Insurgentes,19.43163,-99.158547,31,False,202409
114,CE-109 Nezahualcóyotl-Isabel la Católica,19.425311,-99.137421,31,False,202409
115,CE-113 General Prim-Versalles,19.430369,-99.154419,15,False,202409
116,CE-123 Claudio Bernard-Dr. Lavista,19.424161,-99.153117,27,False,202409
117,CE-259 Tómas Alva Edison-Ponciano Arriaga,19.437569,-99.15468,27,False,202409
118,CE-260 Av. Juárez-Balderas,19.43531137040153,-99.14778560405466,21,False,202409
119,CE-016 Reforma - Río Tiber,19.4267528,-99.16861944,31,False,202409
120,CE-025 Reforma - Estocolmo,19.427338,-99.16672,27,False,202409
121,CE-116 Londres-Roma,19.428985,-99.15664,23,False,202409
122,CE-019 Reforma - Río Rhin,19.429453,-99.16283,31,False,202409
123,CE-005 Río Pánuco Río Tiber,19.429804,-99.169451,23,False,202409
124,CE-261 Paseo de la Reforma-Río de la Plata,19.42491,-99.172455,43,False,202409
125,CE-263 Sadi Carnot - Gómez Farias,19.436274,-99.158425,29,False,202409
126,CE-111 Guillermo Prieto - Joaquín Velázquez de León,19.438197,-99.165918,27,False,202409
127,CE-265 Mina - Jesús García,19.440839,-99.152265,33,False,202409
128,CE-264-275 Héroes Ferrocarrileros - Jesús Garcia,19.440985,-99.152935,71,False,202409
129,CE-255 José Rosas Moreno-Guillermo Prieto,19.437118,-99.161862,35,False,202409
130,CE-268-269 Luis Donaldo Colosio - Av. Jesús García,19.442467,-99.151658,69,False,202409
131,CE-007 Río Elba - Río Lerma,19.425355,-99.17515,23,False,202409
132,CE-254 Alfonso Herrera-Miguel Shultz,19.439347,-99.160074,31,False,202409
133,CE-115 Roma-Dinamarca,19.429947,-99.159698,27,False,202409
134,CE-273-274 Luis Donaldo Colosio - Av. Jesús García,19.442707,-99.152956,70,False,202409
135,CE-035 Liverpool - Génova,19.424558,-99.163518,41,False,202409
136,CE-012 Río Lerma - Villalongín,19.432223,-99.161686,15,False,202409
137,CE-006 Río Pánuco - Río Sena,19.430963,-99.166986,15,False,202409
138,CE-132 Colima-Frontera,19.420667,-99.15645,23,False,202409
139,CE-144 Frontera-San Luis Potosí,19.415192,-99.154837,27,False,202409
140,CE-147 Coahuila-Orizaba,19.412182,-99.158443,27,False,202409
141,CE-271-272 Jesús García - Carlos J. Meneses,19.443684,-99.152465,74,False,202409
142,CE-002 Río Guadalquivir - Río Nazas,19.430495377066244,-99.17115971451493,23,False,202409
143,CE-137 Álvaro Obregón-Mérida,19.418774,-99.157081,27,False,202409
144,CE-139 Tonalá-Guanajuato,19.416128,-99.162097,23,False,202409
145,CE-190 Gobernador Ignacio Esteva-Maestro José Vasconcelos,19.409577,-99.183818,31,False,202409
146,CE-185 General Antonio Léon-General Pedro Antonio de los Santos,19.412776,-99.182805,29,False,202409
147,CE-228 Campos Elíseos-La Fontaine,19.427705,-99.19912,19,False,202409
148,CE-220 Plinio-Presidente Masaryk,19.432655,-99.205727,27,False,202409
149,CE-204 Temístocles-Homero,19.435882,-99.19152,27,False,202409
150,CE-199 Anatole France-Av. Ejército Nacional,19.437934,-99.197241,23,False,202409
151,CE-247 Herschel-Rousseau,19.432276,-99.18064,27,False,202409
152,CE-158-159 Huatabampo-Eje 1 Pte. Av. Cuauhtémoc,19.407517,-99.155373,74,False,202409
153,CE-207 Torquato Tasso-Homero,19.434861,-99.183322,23,False,202409
154,CE-222 Alejandro Dumas-Presidente Masarik,19.431417,-99.195774,27,False,202409
155,CE-216 Alejandro Dumas-Horacio,19.433419,-99.195746,27,False,202409
156,CE-212 Hegel-Horacio,19.433863944714325,-99.18809428821986,35,False,202409
157,CE-140 Mérida-Zacatecas,19.416596,-99.156879,19,False,202409
158,CE-229 Carlos Dickens-Séneca,19.430515,-99.203331,23,False,202409
159,CE-231 Isaac Newton-Aristóteles,19.429711892530808,-99.19357940565533,27,False,202409
160,CE-460 Juan Vázquez De Mella-Homero,19.43716476942747,-99.20793056498951,35,False,202409
161,CE-214 Platón-Horacio,19.434353,-99.20322,27,False,202409
162,CE-218 Hegel-Ibarbourou,19.432451,-99.188033,23,False,202409
163,CE-243 Lago Filt-Miguel de Cervantes Saavedra,19.441123,-99.195857,23,False,202409
164,CE-192-193 Rubén Darío.Reforma,19.425907,-99.190733,49,False,202409
165,CE-464 Mateo Alemán-Prolongación Moliere,19.442421,-99.199838,19,False,202409
166,CE-195 Reforma-Circuito Mahatma Gandhi,19.424858,-99.185181,31,False,202409
167,CE-120 Marsella-Nápoles,19.425437,-99.159458,15,False,202409
168,CE-143 Córdoba-San Luis Potosí,19.414303,-99.157542,23,False,202409
169,CE-150 Campeche-Medellín,19.409894,-99.164288,31,False,202409
170,CE-161 Quintana Roo-Manzanillo,19.405533,-99.164913,23,False,202409
171,CE-031 Hamburgo - Insurgentes,19.427922277979096,-99.16124593467885,37,False,202409
172,CE-280 Anaxágoras-Obrero Mundial,19.4015,-99.156406,39,False,202409
173,CE-032 Londres - Sevilla,19.42268552552878,-99.16998323054486,35,False,202409
174,CE-118 Liverpool-Dinamarca,19.427114,-99.158251,19,False,202409
175,CE-134 Álvaro Obregón-Orizaba,19.418293491655607,-99.15993556380272,31,False,202409
176,CE-033 Londres - Florencia,19.424187,-99.166497,17,False,202409
177,CE-165 Bajío-Eje 2 Pte. Monterrey,19.404268,-99.160503,23,False,202409
178,CE-179 Nuevo León-Quintana Roo,19.404435569698265,-99.17138099675866,27,False,202409
179,CE-293 Mier y Pesado-Eje 4 Sur Xola,19.397373,-99.164598,23,False,202409
180,CE-037 Guadalajara - Puebla,19.42041712015948,-99.17271204298231,35,False,202409
181,CE-156 Tepic-Ario,19.406959,-99.163021,19,False,202409
182,CE-285 12 de Octubre-Minería,19.399763,-99.177538,19,False,202409
183,CE-131 Colima-Jalapa,19.419579,-99.161314,19,False,202409
184,CE-030 Hamburgo - Génova,19.426384,-99.164255,23,False,202409
185,CE-057 Cuernavaca - Juan Escutia,19.414968,-99.174766,11,False,202409
186,CE-058 Parque España - Juan de la Barrera,19.415358,-99.171902,27,False,202409
187,CE-175 Mutualismo-José Martí,19.400599004903363,-99.17245991533491,23,False,202409
188,CE-148 Coahuila-Av. Cuauhtémoc,19.412829,-99.155116,19,False,202409
189,CE-177 Benjamín Hill - Carlos Zetina,19.408841,-99.181692,19,False,202409
190,CE-166 Progreso-Cda. Antonio Maceo,19.406069,-99.183549,23,False,202409
191,CE-241 Ejército Nacional-Juan Vázquez de la Mella,19.43869310388943,-99.20757338410112,19,False,202409
